batch:4, sm:85, quota:90, latency:[27.425455]
batch:4, sm:85, quota:100, latency:[25.996845]
batch:4, sm:90, quota:10, latency:[390.95746]
batch:4, sm:90, quota:20, latency:[143.32996]
batch:4, sm:90, quota:30, latency:[94.44241]
batch:4, sm:90, quota:40, latency:[70.31794]
batch:4, sm:90, quota:50, latency:[54.47856]
batch:4, sm:90, quota:60, latency:[45.625256]
batch:4, sm:90, quota:70, latency:[34.027447]
batch:4, sm:90, quota:80, latency:[29.466059]
batch:4, sm:90, quota:90, latency:[27.132837]
batch:4, sm:90, quota:100, latency:[25.267246]
batch:4, sm:95, quota:10, latency:[390.914]
batch:4, sm:95, quota:20, latency:[143.2584]
batch:4, sm:95, quota:30, latency:[94.43937]
batch:4, sm:95, quota:40, latency:[70.38233]
batch:4, sm:95, quota:50, latency:[54.54672]
batch:4, sm:95, quota:60, latency:[45.646893]
batch:4, sm:95, quota:70, latency:[33.999172]
batch:4, sm:95, quota:80, latency:[29.223156]
batch:4, sm:95, quota:90, latency:[26.897867]
batch:4, sm:95, quota:100, latency:[24.384722]
batch:4, sm:100, quota:10, latency:[390.84973]
batch:4, sm:100, quota:20, latency:[143.19107]
batch:4, sm:100, quota:30, latency:[94.42927]
batch:4, sm:100, quota:40, latency:[70.44018]
batch:4, sm:100, quota:50, latency:[54.609867]
batch:4, sm:100, quota:60, latency:[45.644386]
batch:4, sm:100, quota:70, latency:[33.943554]
batch:4, sm:100, quota:80, latency:[29.005531]
batch:4, sm:100, quota:90, latency:[26.691229]
batch:4, sm:100, quota:100, latency:[23.489399]
